unit_number,true_RUL,health_stage
1,112,Early degradation
2,98,Early degradation
3,69,Moderate degradation
4,82,Early degradation
5,91,Early degradation
6,93,Early degradation
7,91,Early degradation
8,95,Early degradation
9,111,Early degradation
10,96,Early degradation
11,97,Early degradation
12,124,Early degradation
13,95,Early degradation
14,107,Early degradation
15,83,Early degradation
16,84,Early degradation
17,50,Moderate degradation
18,28,Critical degradation
19,87,Early degradation
20,16,Critical degradation
21,57,Moderate degradation
22,111,Early degradation
23,113,Early degradation
24,20,Critical degradation
25,145,Healthy
26,119,Early degradation
27,66,Moderate degradation
28,97,Early degradation
29,90,Early degradation
30,115,Early degradation
31,8,Near failure
32,48,Moderate degradation
33,106,Early degradation
34,7,Near failure
35,11,Critical degradation
36,19,Critical degradation
37,21,Critical degradation
38,50,Moderate degradation
39,142,Healthy
40,28,Critical degradation
41,18,Critical degradation
42,10,Near failure
43,59,Moderate degradation
44,109,Early degradation
45,114,Early degradation
46,47,Moderate degradation
47,135,Healthy
48,92,Early degradation
49,21,Critical degradation
50,79,Moderate degradation
51,114,Early degradation
52,29,Critical degradation
53,26,Critical degradation
54,97,Early degradation
55,137,Healthy
56,15,Critical degradation
57,103,Early degradation
58,37,Critical degradation
59,114,Early degradation
60,100,Early degradation
61,21,Critical degradation
62,54,Moderate degradation
63,72,Moderate degradation
64,28,Critical degradation
65,128,Healthy
66,14,Critical degradation
67,77,Moderate degradation
68,8,Near failure
69,121,Early degradation
70,94,Early degradation
71,118,Early degradation
72,50,Moderate degradation
73,131,Healthy
74,126,Healthy
75,113,Early degradation
76,10,Near failure
77,34,Critical degradation
78,107,Early degradation
79,63,Moderate degradation
80,90,Early degradation
81,8,Near failure
82,9,Near failure
83,137,Healthy
84,58,Moderate degradation
85,118,Early degradation
86,89,Early degradation
87,116,Early degradation
88,115,Early degradation
89,136,Healthy
90,28,Critical degradation
91,38,Critical degradation
92,20,Critical degradation
93,85,Early degradation
94,55,Moderate degradation
95,128,Healthy
96,137,Healthy
97,82,Early degradation
98,59,Moderate degradation
99,117,Early degradation
100,20,Critical degradation
